File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_gd32f450_470.o,42.562477%,8192,464,36,428,0,8192
bl_core.o,42.562477%,8192,3838,3762,76,0,8192
mcu_cmic_gd32f470vet6.o,13.321557%,2564,840,838,0,2,2562
usart_app.o,1.345664%,259,164,164,0,0,259
oled.o,0.119499%,23,3767,1672,2072,23,0
gd32f4xx_it.o,0.046761%,9,326,326,0,0,9
systick.o,0.020782%,4,142,142,0,0,4
system_gd32f4xx.o,0.020782%,4,588,584,0,4,0
